                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.249,                0.85432,                 1.1422,                0.87339,                0.89247,                0.88881,                0.55608,                 1.2771,                0.81319,                 1.2089,                0.08218,                0.00018,                0.00018
                      1,                 1.2641,                0.81889,                 1.1456,                0.89245,                0.89225,                0.90728,                0.57284,                 1.2494,                0.76956,                  1.199,               0.063358,             0.00035779,             0.00035779
                      2,                 1.2841,                 0.8622,                 1.1561,                 0.9289,                0.89247,                0.91948,                0.57019,                 1.2421,                0.75205,                 1.1938,               0.044523,             0.00052304,             0.00052304
                      3,                 1.2157,                0.79729,                 1.1354,                0.93113,                0.87225,                0.91957,                0.58951,                 1.2265,                0.72645,                 1.1776,               0.025676,             0.00067575,             0.00067575
                      4,                 1.2551,                0.81459,                 1.1443,                0.93228,                0.88822,                0.91967,                0.59143,                 1.2344,                0.71959,                 1.1878,              0.0068159,             0.00081592,             0.00081592
                      5,                 1.2343,                0.78413,                 1.1286,                0.92337,                0.90701,                0.93383,                0.59983,                 1.2329,                0.70516,                 1.1978,               0.000835,               0.000835,               0.000835
                      6,                 1.2577,                0.80984,                 1.1212,                0.93544,                0.93484,                0.93527,                0.60491,                 1.2397,                0.69323,                 1.2022,               0.000835,               0.000835,               0.000835
                      7,                 1.2193,                0.74805,                 1.1244,                0.94502,                 0.9241,                0.93994,                0.61218,                 1.2522,                0.69375,                 1.2057,               0.000802,               0.000802,               0.000802
                      8,                 1.1992,                0.76226,                 1.1184,                0.95602,                0.93492,                0.95473,                0.61163,                 1.2538,                 0.6965,                 1.2065,               0.000769,               0.000769,               0.000769
                      9,                  1.194,                0.76793,                 1.1202,                0.92738,                0.91398,                0.92804,                0.60395,                 1.2563,                0.70501,                 1.2128,               0.000736,               0.000736,               0.000736
                     10,                 1.1132,                0.71711,                 1.0722,                 0.9138,                0.91191,                0.92102,                0.60553,                 1.2481,                0.69647,                 1.2073,               0.000703,               0.000703,               0.000703
                     11,                 1.1222,                0.72339,                 1.0783,                0.91246,                0.90323,                0.90934,                  0.593,                  1.265,                0.69533,                 1.2073,                0.00067,                0.00067,                0.00067
                     12,                 1.1457,                0.71602,                 1.0928,                0.91302,                0.90296,                0.91006,                0.58934,                 1.2621,                0.69213,                 1.2071,               0.000637,               0.000637,               0.000637
                     13,                 1.1314,                0.72564,                 1.0949,                0.90039,                0.91398,                0.90187,                0.57027,                 1.2847,                0.69505,                 1.2208,               0.000604,               0.000604,               0.000604
                     14,                 1.1235,                0.70316,                 1.0798,                0.91392,                0.91335,                 0.9047,                0.56851,                 1.2803,                0.68822,                 1.2231,               0.000571,               0.000571,               0.000571
                     15,                 1.1149,                0.69555,                  1.072,                0.90296,                0.91398,                0.90354,                0.57301,                 1.2659,                0.68209,                 1.2189,               0.000538,               0.000538,               0.000538
                     16,                 1.1341,                0.70656,                 1.0796,                 0.9001,                0.91398,                0.90636,                0.58063,                 1.2739,                0.68577,                 1.2197,               0.000505,               0.000505,               0.000505
                     17,                 1.1241,                 0.6909,                 1.0744,                0.90867,                0.90323,                0.90583,                0.56748,                 1.2826,                0.68322,                   1.22,               0.000472,               0.000472,               0.000472
                     18,                  1.062,                 0.6944,                 1.0531,                0.92288,                0.90076,                 0.9065,                0.57415,                 1.2721,                0.68607,                 1.2082,               0.000439,               0.000439,               0.000439
                     19,                 1.0993,                 0.6828,                 1.0556,                0.92274,                0.89903,                0.90921,                 0.5839,                 1.2836,                0.67293,                  1.204,               0.000406,               0.000406,               0.000406
                     20,                 1.1221,                0.73003,                 1.0819,                0.91694,                0.88172,                0.90121,                0.56969,                 1.2912,                0.68352,                 1.2075,               0.000373,               0.000373,               0.000373
                     21,                 1.0841,                0.66784,                 1.0643,                0.93003,                0.89247,                0.90881,                0.56692,                 1.2836,                0.68886,                 1.2094,                0.00034,                0.00034,                0.00034
                     22,                 1.0717,                0.65991,                 1.0431,                0.92113,                0.87911,                0.90313,                0.56712,                 1.2919,                0.69092,                 1.2155,               0.000307,               0.000307,               0.000307
                     23,                 1.0714,                 0.6587,                 1.0623,                0.92117,                0.87962,                0.90089,                0.57047,                 1.2945,                0.68599,                 1.2224,               0.000274,               0.000274,               0.000274
                     24,                 1.0969,                0.65957,                 1.0777,                0.92994,                0.90323,                0.91595,                0.57832,                 1.2953,                0.68805,                 1.2249,               0.000241,               0.000241,               0.000241
                     25,                  1.082,                0.65187,                  1.055,                0.91868,                0.90323,                0.90203,                0.56778,                 1.2963,                0.68328,                 1.2308,               0.000208,               0.000208,               0.000208
                     26,                  1.072,                0.65729,                 1.0556,                0.92719,                0.90323,                0.91635,                0.57404,                  1.282,                0.68786,                 1.2332,               0.000175,               0.000175,               0.000175
                     27,                 1.0556,                0.62493,                 1.0641,                0.90853,                0.90323,                0.88972,                0.57085,                 1.2725,                0.68466,                  1.236,               0.000142,               0.000142,               0.000142
                     28,                 1.0534,                0.64222,                 1.0494,                0.90945,                0.90323,                0.90744,                0.57971,                 1.2717,                0.68177,                 1.2343,               0.000109,               0.000109,               0.000109
                     29,                 1.0658,                0.65079,                 1.0601,                0.90816,                0.90323,                0.88966,                0.57146,                 1.2745,                0.68415,                 1.2346,                7.6e-05,                7.6e-05,                7.6e-05
