                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4485,                 3.9048,                 1.3575,                0.00287,                0.80435,                0.23064,                0.12448,                 1.2379,                 3.8364,                 1.1942,                 0.0793,                 0.0023,                 0.0023
                      1,                 1.4484,                 2.4404,                 1.3106,                0.00295,                0.82609,                0.27631,                0.15749,                 1.3038,                 3.3467,                 1.2866,               0.057622,              0.0046225,              0.0046225
                      2,                 1.4501,                 1.8214,                 1.1812,                      1,                0.22019,                0.63616,                0.34055,                 1.2941,                 2.8791,                 1.2354,               0.035866,              0.0068657,              0.0068657
                      3,                 1.4506,                 1.6976,                 1.2374,                0.85021,                 0.3702,                 0.6349,                0.33335,                 1.4162,                   2.53,                 1.3197,                0.01403,              0.0090297,              0.0090297
                      4,                 1.4613,                  1.741,                 1.2295,                0.47462,                0.48117,                0.39551,                0.16361,                 1.7303,                 2.4511,                 1.4185,                0.00934,                0.00934,                0.00934
                      5,                 1.4809,                 1.6893,                 1.2409,                0.35312,                0.47469,                0.29342,                0.13517,                  1.588,                 2.9788,                 1.5176,                0.00934,                0.00934,                0.00934
                      6,                 1.4812,                  1.565,                 1.2308,                0.69398,                0.66558,                0.68576,                0.39702,                 1.4685,                 1.5403,                 1.3828,               0.009175,               0.009175,               0.009175
                      7,                 1.4832,                 1.4621,                 1.2503,                0.81766,                0.73115,                0.78914,                  0.416,                 1.5134,                 1.3835,                 1.3751,                0.00901,                0.00901,                0.00901
                      8,                 1.4486,                 1.3332,                 1.2211,                0.62448,                0.65076,                0.59271,                0.35347,                 1.4372,                 1.7041,                 1.3591,               0.008845,               0.008845,               0.008845
                      9,                 1.4304,                 1.2982,                 1.2034,                0.72337,                0.77174,                0.75647,                0.40956,                 1.4979,                 1.3507,                 1.3676,                0.00868,                0.00868,                0.00868
                     10,                 1.4237,                  1.378,                 1.2329,                0.76121,                0.72765,                0.70523,                0.36294,                 1.5835,                 1.4494,                   1.35,               0.008515,               0.008515,               0.008515
                     11,                 1.4225,                 1.3409,                 1.2058,                0.56302,                0.70027,                0.58324,                 0.3073,                 1.4864,                 1.4934,                 1.3771,                0.00835,                0.00835,                0.00835
                     12,                 1.4044,                 1.2684,                  1.217,                0.68716,                0.74014,                0.66167,                0.38519,                 1.4429,                   1.38,                 1.3471,               0.008185,               0.008185,               0.008185
                     13,                 1.3983,                 1.1742,                 1.2164,                0.69568,                0.57154,                0.54889,                0.31361,                 1.7401,                 1.6674,                 1.5465,                0.00802,                0.00802,                0.00802
                     14,                 1.3715,                 1.2164,                 1.1828,                0.74499,                 0.6413,                0.71124,                 0.3762,                 1.6293,                 1.3778,                 1.4335,               0.007855,               0.007855,               0.007855
                     15,                 1.3713,                 1.1366,                 1.1843,                0.71787,                0.76087,                0.67709,                0.32271,                 1.6532,                 1.3251,                 1.3546,                0.00769,                0.00769,                0.00769
                     16,                 1.3721,                 1.1285,                  1.191,                0.69436,                0.69565,                0.64522,                0.30163,                  1.661,                 1.4264,                  1.399,               0.007525,               0.007525,               0.007525
